iter	RMSE
0	0.2119774834
1	0.2112122627
2	0.2104596563
3	0.2096331582
4	0.2088504481
5	0.2080431469
6	0.2072340538
7	0.2064282648
8	0.205716196
9	0.2049123517
10	0.2041336681
11	0.203336262
12	0.2025389556
13	0.2018402719
14	0.2010609662
15	0.2003662834
16	0.1995917605
17	0.1987955322
18	0.1980787924
19	0.197340782
20	0.1965776489
21	0.195850136
22	0.1951308647
23	0.1944831999
24	0.1937909903
25	0.1930384794
26	0.1922910051
27	0.1916203009
28	0.1909714278
29	0.1903065476
30	0.1896349744
31	0.1890229436
32	0.1883547942
33	0.1877251459
34	0.1870311317
35	0.1863944606
36	0.1857800138
37	0.1851213565
38	0.184446814
39	0.1837178624
40	0.1830944993
41	0.1824266165
42	0.1818498392
43	0.1812362761
44	0.1806154314
45	0.1799368903
46	0.1792495719
47	0.1785930225
48	0.177952977
49	0.1772803672
50	0.1766276656
51	0.1759703552
52	0.1753861816
53	0.1748189449
54	0.1742374976
55	0.1735901536
56	0.1729559675
57	0.1724386724
58	0.1718922179
59	0.1712851472
60	0.1706833396
61	0.1700980597
62	0.1695413271
63	0.1690016194
64	0.1684420783
65	0.1678921397
66	0.1673668793
67	0.1667673869
68	0.1661599237
69	0.1656093239
70	0.1650184489
71	0.164469272
72	0.1639252863
73	0.1634023952
74	0.1628394727
75	0.1622499371
76	0.1617392382
77	0.1611767552
78	0.1605869088
79	0.1600689583
80	0.1595061537
81	0.159005236
82	0.1584381489
83	0.1578843737
84	0.1573757127
85	0.1568707885
86	0.1563196738
87	0.1557991922
88	0.15535887
89	0.1548231065
90	0.1543274829
91	0.1538873873
92	0.1534273378
93	0.1528992099
94	0.1523866862
95	0.151864123
96	0.1513463144
97	0.1508326376
98	0.1503944856
99	0.1499327793
100	0.1494336005
101	0.1489535039
102	0.1484918742
103	0.1479923399
104	0.1474832664
105	0.1470684438
106	0.1466288989
107	0.1461465602
108	0.1457150588
109	0.1452383135
110	0.1448241913
111	0.1444433767
112	0.1439416797
113	0.14356692
114	0.1431427838
115	0.1426728076
116	0.1422630783
117	0.1417934431
118	0.1413087378
119	0.1408619205
120	0.1404084055
121	0.13998455
122	0.1395724061
123	0.1391319582
124	0.13866417
125	0.1382127951
126	0.1377649842
127	0.1373362636
128	0.1369018759
129	0.1364801387
130	0.1360492816
131	0.1356117945
132	0.1351830334
133	0.1347565975
134	0.1343150865
135	0.1338945616
136	0.1334632215
137	0.1330475976
138	0.1326385178
139	0.1322637463
140	0.1318419268
141	0.1314245048
142	0.1310466536
143	0.1306508227
144	0.13028681
145	0.1299349967
146	0.1296028564
147	0.1291985228
148	0.1288525672
149	0.1285027988
150	0.1281060801
151	0.1277497512
152	0.1273653203
153	0.127031185
154	0.1267113384
155	0.1263158341
156	0.1259560833
157	0.125569775
158	0.1251988219
159	0.1248248662
160	0.1244593274
161	0.1241329261
162	0.1237574801
163	0.1235034727
164	0.1231501127
165	0.1227833135
166	0.1224054588
167	0.1220668388
168	0.1217280029
169	0.1213574069
170	0.1210003974
171	0.1206597289
172	0.1203476473
173	0.1200008813
174	0.1196360187
175	0.119350104
176	0.1190603972
177	0.1187032995
178	0.1184155605
179	0.1181352435
180	0.1177891833
181	0.1174437411
182	0.117127464
183	0.1167851677
184	0.1165088856
185	0.1161872033
186	0.1158625767
187	0.115552273
188	0.1152152197
189	0.1148921973
190	0.114621275
191	0.1143151508
192	0.1140240895
193	0.1137148118
194	0.1134006427
195	0.1130935831
196	0.1127834434
197	0.1124646596
198	0.1121801129
199	0.111887163
200	0.1116129327
201	0.1113167987
202	0.1110058569
203	0.1107394132
204	0.1104923902
205	0.1101891364
206	0.1099128573
207	0.1096331287
208	0.1093607475
209	0.1090708784
210	0.1088175463
211	0.1085569182
212	0.1082785293
213	0.1080109789
214	0.1077324337
215	0.1074964061
216	0.107260091
217	0.1069810161
218	0.1067044295
219	0.1064410815
220	0.1061753799
221	0.1059208109
222	0.1056920622
223	0.1054421142
224	0.1051695367
225	0.1049154767
226	0.1046430408
227	0.1043732766
228	0.104111246
229	0.103878463
230	0.1036204614
231	0.1034450196
232	0.1031939396
233	0.1029538665
234	0.1027107902
235	0.102454647
236	0.1021964882
237	0.1019555403
238	0.1017286152
239	0.1014984531
240	0.1012687133
241	0.1010670627
242	0.1008344709
243	0.1006095346
244	0.1003638679
245	0.1001274971
246	0.09993121376
247	0.0996883245
248	0.09946622724
249	0.09927358626
250	0.09903379966
251	0.09886916879
252	0.09862303068
253	0.09840135992
254	0.09817234381
255	0.09799110467
256	0.09776159765
257	0.09756946329
258	0.09735213971
259	0.09715467745
260	0.09696785728
261	0.09675889227
262	0.09653988664
263	0.09634886771
264	0.09614005983
265	0.09593021101
266	0.0957239593
267	0.09551737442
268	0.09532116664
269	0.09512179202
270	0.09491619975
271	0.0947054645
272	0.09450281694
273	0.09429391721
274	0.09413776738
275	0.09396119987
276	0.09380077315
277	0.09359802984
278	0.09341329296
279	0.09322969718
280	0.09306234784
281	0.09286347675
282	0.09267834007
283	0.09248054858
284	0.09232252916
285	0.09216940445
286	0.09196860232
287	0.09177617534
288	0.09158488187
289	0.09141897482
290	0.0912543762
291	0.09110056132
292	0.09092117744
293	0.09072916966
294	0.09054950195
295	0.09035738942
296	0.09017770663
297	0.09002271953
298	0.08984702757
299	0.08966818194
300	0.08949439943
301	0.08934833071
302	0.0891782225
303	0.08900507654
304	0.08884301532
305	0.08867868142
306	0.08853982662
307	0.08838135603
308	0.08821142522
309	0.08804893874
310	0.08787810396
311	0.0877340589
312	0.08759133456
313	0.08744228386
314	0.08727747003
315	0.08715134384
316	0.08699546869
317	0.08684294228
318	0.0866879162
319	0.08653484417
320	0.08636718638
321	0.08622729191
322	0.08606894139
323	0.08593812455
324	0.08581559089
325	0.08565039668
326	0.08549660498
327	0.08537546129
328	0.08523347159
329	0.08509007061
330	0.08494362877
331	0.08481481192
332	0.08468263804
333	0.08455150377
334	0.0844095612
335	0.08430145336
336	0.08413802835
337	0.08402115476
338	0.083893595
339	0.08377891112
340	0.08364248136
341	0.08350092623
342	0.08337145483
343	0.08321492222
344	0.08309014055
345	0.08300494484
346	0.08285956314
347	0.08271545665
348	0.08257559365
349	0.08243211138
350	0.08229753072
351	0.0821772173
352	0.0820461497
353	0.08191910832
354	0.0818052162
355	0.08168052976
356	0.08155560377
357	0.08141989156
358	0.08130262785
359	0.08117807045
360	0.08103958465
361	0.08093810307
362	0.08080116499
363	0.08067456129
364	0.08054350253
365	0.08041533227
366	0.08031933303
367	0.08018337351
368	0.08005975635
369	0.07993349031
370	0.07984181051
371	0.07970945415
372	0.07958241838
373	0.07947238426
374	0.07938241946
375	0.0792980055
376	0.07921771415
377	0.07910025983
378	0.07898034496
379	0.07888533359
380	0.07877150775
381	0.07868456705
382	0.07857472643
383	0.07845582468
384	0.07834114674
385	0.07822915726
386	0.07812225363
387	0.07800263294
388	0.07789444239
389	0.07779457559
390	0.07768522897
391	0.07758000242
392	0.07745715199
393	0.07734400987
394	0.0772455592
395	0.07713989509
396	0.07702832548
397	0.0769218879
398	0.07684564062
399	0.07674191255
400	0.07663275658
401	0.07654019775
402	0.07645265734
403	0.07637306046
404	0.07625798919
405	0.07615960791
406	0.07605983205
407	0.07596857213
408	0.07586866795
409	0.07577456374
410	0.07570194141
411	0.07560368682
412	0.07550079097
413	0.07540480277
414	0.07532598672
415	0.0752465379
