iter	Passed	Remaining
0	1	7214
1	2	6459
2	2	5873
3	4	7114
4	6	7296
5	7	7378
6	8	7324
7	9	7270
8	10	7248
9	12	7273
10	13	7256
11	14	7230
12	15	7265
13	16	7204
14	17	7110
15	18	7033
16	19	6945
17	20	6862
18	21	6736
19	22	6608
20	22	6496
21	23	6395
22	24	6312
23	24	6223
24	25	6123
25	26	6021
26	26	5934
27	27	5851
28	28	5768
29	28	5691
30	29	5621
31	29	5546
32	30	5475
33	30	5408
34	31	5343
35	31	5284
36	32	5220
37	32	5165
38	33	5110
39	33	5057
40	34	4995
41	34	4942
42	35	4887
43	35	4838
44	36	4788
45	36	4740
46	37	4692
47	37	4651
48	37	4612
49	38	4567
50	38	4524
51	39	4482
52	39	4442
53	40	4405
54	40	4368
55	40	4336
56	41	4304
57	41	4274
58	42	4241
59	42	4212
60	42	4185
61	43	4157
62	43	4129
63	44	4099
64	44	4071
65	45	4047
66	45	4020
67	45	3994
68	46	3971
69	46	3949
70	47	3926
71	47	3904
72	47	3881
73	48	3861
74	48	3839
75	49	3819
76	49	3799
77	49	3780
78	50	3760
79	50	3742
80	50	3724
81	51	3706
82	51	3689
83	52	3674
84	52	3658
85	52	3641
86	53	3627
87	53	3612
88	54	3597
89	54	3582
90	54	3568
91	55	3554
92	55	3540
93	56	3528
94	56	3513
95	56	3500
96	57	3488
97	57	3488
98	58	3477
99	58	3466
100	59	3456
101	59	3445
102	59	3434
103	60	3424
104	60	3413
105	61	3403
106	61	3393
107	62	3383
108	62	3374
109	62	3365
110	63	3356
111	63	3347
112	64	3339
113	64	3331
114	64	3322
115	65	3313
116	65	3305
117	66	3296
118	66	3288
119	66	3281
120	67	3274
121	67	3266
122	68	3257
123	68	3252
124	69	3244
125	69	3238
126	69	3231
127	70	3224
128	70	3217
129	71	3209
130	71	3203
131	71	3198
132	72	3192
133	72	3185
134	73	3179
135	73	3173
136	74	3167
137	74	3161
138	74	3155
139	75	3149
140	75	3144
141	76	3138
142	76	3133
143	76	3128
144	77	3123
145	77	3118
146	78	3112
147	78	3108
148	79	3103
149	79	3098
150	79	3092
151	80	3087
152	80	3082
153	81	3078
154	81	3073
155	81	3068
156	82	3063
157	82	3057
158	83	3053
159	83	3049
160	83	3044
161	84	3039
162	84	3034
163	85	3026
164	85	3020
165	85	3017
166	86	3012
167	86	3008
168	87	3004
169	87	2999
170	87	2996
171	88	2991
172	88	2987
173	89	2983
174	89	2979
175	89	2975
176	90	2970
177	90	2966
178	91	2961
179	91	2957
180	91	2953
181	92	2949
182	92	2945
183	93	2941
184	93	2938
185	93	2933
186	94	2930
187	94	2926
188	95	2922
189	95	2918
190	95	2915
191	96	2911
192	96	2907
193	97	2903
194	97	2900
195	97	2897
196	98	2893
197	98	2889
198	99	2886
199	99	2884
200	99	2881
201	100	2878
202	100	2875
203	101	2871
204	101	2869
205	101	2865
206	102	2862
207	102	2859
208	103	2856
209	103	2853
210	103	2850
211	104	2846
212	104	2843
213	105	2840
214	105	2837
215	105	2833
216	106	2830
217	106	2827
218	107	2825
219	107	2823
220	107	2821
221	108	2820
222	108	2818
223	109	2817
224	109	2816
225	110	2816
226	110	2814
227	111	2813
228	111	2812
229	112	2810
230	112	2809
231	112	2807
232	113	2805
233	113	2803
234	114	2800
235	114	2798
236	114	2796
237	115	2794
238	115	2794
239	116	2792
240	116	2789
241	117	2786
242	117	2784
243	117	2781
244	118	2779
245	118	2777
246	119	2774
247	119	2772
248	119	2770
249	120	2767
250	120	2765
251	121	2762
252	121	2760
253	121	2757
254	122	2756
255	122	2754
256	123	2753
257	123	2750
258	123	2748
259	124	2745
260	124	2744
261	125	2742
262	125	2740
263	125	2737
264	126	2735
265	126	2733
266	127	2730
267	127	2728
268	127	2726
269	128	2723
270	128	2721
271	129	2718
272	129	2716
273	129	2714
274	130	2712
275	130	2710
276	131	2708
277	131	2705
278	131	2703
279	132	2701
280	132	2699
281	133	2698
282	133	2696
283	133	2694
284	134	2692
285	134	2690
286	135	2688
287	135	2686
288	135	2684
289	136	2682
290	136	2680
291	137	2678
292	137	2676
293	137	2674
294	138	2672
295	138	2671
296	139	2669
297	139	2667
298	139	2665
299	140	2663
300	140	2661
301	140	2660
302	141	2658
303	141	2656
304	142	2654
305	142	2652
306	142	2651
307	143	2649
308	143	2648
309	144	2646
310	144	2645
311	145	2643
312	145	2641
313	145	2640
314	146	2638
315	146	2637
316	147	2635
317	147	2633
318	147	2632
319	148	2630
320	148	2628
321	148	2627
322	149	2625
323	149	2623
324	150	2622
325	150	2620
326	150	2619
327	151	2617
328	151	2615
329	152	2614
330	152	2613
331	152	2611
332	153	2610
333	153	2609
334	154	2607
335	154	2606
336	155	2604
337	155	2602
338	155	2601
339	156	2599
340	156	2598
341	156	2596
342	157	2595
343	157	2593
344	158	2592
345	158	2590
346	158	2589
347	159	2587
348	159	2585
349	160	2584
350	160	2583
351	160	2582
352	161	2580
353	161	2579
354	162	2577
355	162	2576
356	162	2574
357	163	2573
358	163	2571
359	164	2569
360	164	2568
361	164	2567
362	165	2566
363	165	2564
364	166	2563
365	166	2561
366	166	2560
367	167	2559
368	167	2557
369	168	2556
370	168	2554
371	168	2553
372	169	2552
373	169	2550
374	169	2549
375	170	2548
376	170	2546
377	171	2545
378	171	2544
379	171	2542
380	172	2541
381	172	2539
382	173	2538
383	173	2537
384	173	2535
385	174	2534
386	174	2532
387	175	2531
388	175	2530
389	175	2529
390	176	2528
391	176	2527
392	177	2525
393	177	2524
394	177	2523
395	178	2522
396	178	2520
397	179	2520
398	179	2520
399	180	2520
400	180	2520
401	180	2518
402	181	2517
403	181	2516
404	182	2515
405	182	2514
406	182	2513
407	183	2512
408	183	2512
409	184	2511
410	184	2510
411	185	2509
412	185	2509
413	185	2508
414	186	2507
415	186	2505
416	187	2504
417	187	2503
418	187	2502
419	188	2501
420	188	2500
421	189	2498
422	189	2497
423	189	2496
424	190	2495
425	190	2494
426	191	2493
427	191	2492
428	191	2491
429	192	2490
430	192	2489
431	193	2488
432	193	2487
433	193	2486
434	194	2485
435	194	2484
436	195	2483
437	195	2482
438	195	2480
439	196	2479
440	196	2478
441	197	2477
442	197	2476
443	197	2475
444	198	2473
445	198	2472
446	198	2471
447	199	2470
448	199	2469
449	200	2468
450	200	2467
451	200	2466
452	201	2465
453	201	2464
454	202	2463
455	202	2461
456	202	2460
457	203	2459
458	203	2458
459	204	2458
460	204	2456
461	204	2455
462	205	2455
463	205	2454
464	206	2453
465	206	2452
466	206	2451
467	207	2450
468	207	2449
469	208	2448
470	208	2447
471	208	2446
472	209	2445
473	209	2443
474	210	2443
475	210	2442
476	210	2441
477	211	2440
478	211	2439
479	212	2438
480	212	2437
481	212	2436
482	213	2435
483	213	2434
484	214	2433
485	214	2432
486	214	2431
487	215	2430
488	215	2429
489	215	2428
490	216	2427
491	216	2426
492	217	2425
493	217	2424
494	217	2423
495	218	2422
496	218	2421
497	219	2420
498	219	2419
499	219	2418
500	220	2417
501	220	2416
502	221	2415
503	221	2414
504	221	2413
505	222	2412
506	222	2411
507	222	2410
508	223	2409
509	223	2408
510	224	2407
511	224	2406
512	224	2406
513	225	2405
514	225	2404
515	226	2403
516	226	2402
517	226	2401
518	227	2400
519	227	2399
520	228	2398
521	228	2397
522	228	2396
523	229	2395
524	229	2394
525	230	2393
526	230	2392
527	230	2391
528	231	2390
529	231	2389
530	231	2388
531	232	2387
532	232	2386
533	233	2386
534	233	2385
535	233	2384
536	234	2385
537	234	2384
538	235	2383
539	235	2382
540	236	2381
541	236	2380
542	236	2379
543	237	2378
544	237	2378
545	237	2377
546	238	2376
547	238	2375
548	239	2374
549	239	2373
550	239	2373
551	240	2372
552	240	2371
553	241	2370
554	241	2369
555	241	2368
556	242	2367
557	242	2366
558	243	2366
559	243	2365
560	243	2364
561	244	2363
562	244	2362
563	245	2361
564	245	2360
565	245	2360
566	246	2359
567	246	2358
568	247	2357
569	247	2357
570	247	2356
571	248	2355
572	248	2354
573	248	2353
574	249	2352
575	249	2351
576	250	2350
577	250	2350
578	250	2349
579	251	2348
580	251	2347
581	252	2346
582	252	2345
583	252	2345
584	253	2344
585	253	2343
586	254	2342
587	254	2341
588	254	2340
589	255	2340
590	255	2339
591	256	2338
592	256	2338
593	256	2337
594	257	2336
595	257	2335
596	258	2335
597	258	2334
598	258	2333
599	259	2332
600	259	2331
601	260	2331
602	260	2330
603	260	2330
604	261	2329
605	261	2328
606	261	2327
607	262	2326
608	262	2325
609	263	2325
610	263	2324
611	263	2323
612	264	2322
613	264	2322
614	265	2321
615	265	2320
616	265	2319
617	266	2318
618	266	2318
619	267	2317
620	267	2316
621	267	2315
622	268	2314
623	268	2314
624	268	2313
625	269	2312
626	269	2311
627	270	2311
628	270	2310
629	270	2309
630	271	2309
631	271	2308
632	272	2307
633	272	2306
634	272	2305
635	273	2305
636	273	2304
637	274	2304
638	274	2303
639	274	2302
640	275	2301
641	275	2300
642	276	2300
643	276	2299
644	276	2298
645	277	2297
646	277	2297
647	278	2296
648	278	2295
649	278	2295
650	279	2294
651	279	2293
652	280	2293
653	280	2292
654	280	2291
655	281	2290
656	281	2290
657	281	2289
658	282	2288
659	282	2287
660	283	2287
661	283	2286
662	283	2285
663	284	2285
664	284	2284
665	285	2283
666	285	2282
667	285	2281
668	286	2281
669	286	2280
670	287	2279
671	287	2279
672	287	2278
673	288	2277
674	288	2276
675	289	2276
676	289	2275
677	289	2274
678	290	2274
679	290	2273
680	290	2272
681	291	2271
682	291	2271
683	292	2270
684	292	2269
685	292	2269
686	293	2268
687	293	2267
688	294	2267
689	294	2266
690	294	2265
691	295	2264
692	295	2264
693	296	2263
694	296	2262
695	296	2262
696	297	2261
697	297	2260
698	298	2260
699	298	2259
700	298	2258
701	299	2257
702	299	2257
703	299	2256
704	300	2256
705	300	2255
706	301	2254
707	301	2254
708	301	2253
709	302	2252
710	302	2252
711	303	2251
712	303	2250
713	303	2250
714	304	2249
715	304	2248
716	305	2248
717	305	2247
718	305	2246
719	306	2246
720	306	2245
721	307	2244
722	307	2244
723	307	2243
724	308	2242
725	308	2242
726	309	2241
727	309	2240
728	309	2240
729	310	2239
730	310	2238
731	310	2237
732	311	2237
733	311	2236
734	312	2235
735	312	2235
736	312	2234
737	313	2233
738	313	2233
739	314	2232
740	314	2232
741	314	2231
742	315	2230
743	315	2230
744	316	2229
745	316	2228
746	316	2228
747	317	2227
748	317	2226
749	317	2225
750	318	2225
751	318	2224
752	319	2224
753	319	2223
754	319	2223
755	320	2222
756	320	2221
757	321	2221
758	321	2220
759	321	2220
760	322	2221
761	323	2220
762	323	2219
763	323	2219
764	324	2218
765	324	2218
766	325	2217
767	325	2216
768	325	2216
769	326	2215
770	326	2214
771	326	2214
772	327	2213
773	327	2213
774	328	2212
775	328	2211
776	328	2211
777	329	2210
778	329	2209
779	330	2209
780	330	2208
781	330	2207
782	331	2207
783	331	2206
784	332	2205
785	332	2205
786	332	2204
787	333	2204
788	333	2203
789	334	2203
790	334	2202
791	334	2201
792	335	2201
793	335	2200
794	335	2199
795	336	2199
796	336	2198
797	337	2197
798	337	2197
799	337	2196
800	338	2195
801	338	2195
802	339	2194
803	339	2193
804	339	2193
805	340	2192
806	340	2192
807	341	2191
808	341	2191
809	341	2190
810	342	2189
811	342	2189
812	343	2188
813	343	2188
814	343	2187
815	344	2187
816	344	2186
817	345	2186
818	345	2185
819	345	2185
820	346	2184
821	346	2184
822	347	2183
823	347	2182
824	347	2182
825	348	2181
826	348	2181
827	349	2180
828	349	2180
829	349	2179
830	350	2178
831	350	2178
832	351	2177
833	351	2177
834	351	2176
835	352	2175
836	352	2175
837	353	2174
